action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,14,,,,,,14,,,,,,,,,,,,,,6898088286784,#22_fbg,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,8,,,,,,8,,,,,,,,,,,,,,6908318942584,fwg_fastcuts,6908318942984,FB_iOS_Purchase_itoshi_fwgvariants,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,"[{'action_type': 'subscribe_mobile_app', 'value': '0'}, {'action_type': 'subscribe_total', 'value': '0'}]",,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,6909005852184,tbcopy2,6909005852384,FB_iOS_Purchase_itoshi_mixedstyles2_111225,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,6909507590784,kimk_braids_4x5,6909505133584,FB_iOS_Purchase_itoshi_mixedstyles2_111325,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,6910102451384,biker_dude_4x5,6910102448584,FB_iOS_Purchase_itoshi_sliding_mixed_141125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,male,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910104803984,redpants_braids_4x5,6910102448584,FB_iOS_Purchase_itoshi_sliding_mixed_141125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910106338184,#22_fbg,6910106337984,FB_iOS_Purchase_itoshi_fbgvariants_141125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,6910107137584,OG_fbg_variant,6910106337984,FB_iOS_Purchase_itoshi_fbgvariants_141125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,female,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6912279881584,06 aecho_ai_video_iphone_photo_of_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-11-22,2025-11-22,1,female,2,,,,,2,0.07,,7,,1,,
,,,,1,,,,,,,,,2,,2,,,,1,,6912279881584,06 aecho_ai_video_iphone_photo_of_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,0.09,"[{'action_type': 'outbound_click', 'value': '0.09'}]",0.09,,,,0.045,0.045,,,0.09,0.09,45,45,50,2025-11-22,2025-11-22,1,male,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",2,0.09,,3,,1,,
